ID,Account,Date,Description,Amount
aca92cb20aba015ad8d0ad93d23e46b03cb61a6d,RBC Chequing,9/3/2026,ACCOUNT PAYABLE PMT Money Coaches C,-1443.75,cad
262f10cd971d8fa26df6e7a2b6b56be08abe1d47,RBC Chequing,9/3/2026,Transfer WWW TRANSFER - 2706,-5000.00,cad
351124e9a26a1a36b232d2d11116760f58b010d2,RBC Chequing,9/4/2026,MONTHLY FEE,-16.95,cad
078a37ab537b5e104c8ad04ae93c75a3a1068d36,RBC Chequing,9/8/2026,C-IDP PURCHASE-7946 SHOPPERS DRUG M,-38.42,cad
8c2beb582a237af4cb9b94c7d74909380ba91bdb,RBC Chequing,9/8/2026,C-IDP PURCHASE-5827 BC LIQUOR #137,-46.18,cad
7bea12b1dd2093170f0992a916a8dbfff0f9fda9,RBC Chequing,9/9/2026,MISC PAYMENT RBC CREDIT CARD,-5869.00,cad
7a4a17cbbeefa220cd2fbf79b7403d11ecdd0356,RBC Chequing,9/10/2026,Email Trfs E-TRANSFER SENT,-34.56,cad
62116245b1ddde880032cb31b7ac4c79bf2f5af8,RBC Chequing,9/10/2026,Email Trfs E-TRANSFER SENT,-74.17,cad
c72e9ecdee38998d9e1a4a01c0083c43ab76582c,RBC Chequing,9/11/2026,C - IDP REFUND-2575 059 BOATHOUSE C,60.48,cad
426cfb34fe0f2eec91fb74d4fa9826839616709e,RBC Chequing,9/11/2026,C - IDP REFUND-8407 Dynamite,67.14,cad
c9ffc5c01f10eb647240a6c769e0be83124019ad,RBC Chequing,9/11/2026,PAYROLL DEPOSIT BURNABY #41 TEA,1679.00,cad
8deb0c620980cedddcfaf0972d6be195ada51a78,RBC Chequing,9/11/2026,PAYROLL DEPOSIT IBM Canada Ltd.,5400.44,cad
c436ae85d4e8d0aecb0f3b60b8a74a0519b9054f,RBC Chequing,9/11/2026,C-IDP PURCHASE-3286 WALMART STORE #,-50.91,cad
9b357ee340dfaf754292377982aac71a58fa0fbd,RBC Chequing,9/14/2026,Email Trfs E-TRANSFER SENT,-200.00,cad
97c367174a7c54f947c3210bca2fdb1cf38beb7e,RBC Chequing,9/14/2026,C-IDP PURCHASE-4414 CASCADIA BAKEHO,-15.44,cad
cc78bd3f5d77f572bb456e2d46a5f6496652fe04,RBC Chequing,9/16/2026,Email Trfs E-TRANSFER SENT,-300.00,cad
20d9fda2f1704043228d49aaab451807020fc97e,RBC Savings,8/28/2026,E-TRF AUTODEPOSIT,105.50,cad
564934371913b38284752d665b3997de22d912c9,RBC Savings,9/1/2026,DEPOSIT INTEREST,3.09,cad
0305f9249eb1edd0761495e5914d33448c67dfc2,RBC Savings,9/9/2026,E-TRF AUTODEPOSIT,82.91,cad
9bab811e687a2372651d7e0d96ccc46438f9b416,RBC Visa,8/19/2026,CS *SKIP GC 855-793-8451 ON,-150.00,cad
64ac57a1ec6e69aea8c456f54f9b39a1e54d98fe,RBC Visa,8/19/2026,TST-Rewind Beer Co. Port Moody BC,-22.60,cad
fa5562f319982b2cd3521651b6b14e785ae59976,RBC Visa,8/19/2026,TST-Rewind Beer Co. Port Moody BC,-23.69,cad
c8c195d5ac33f5ae7c276efd0a934ed3f7dee5e3,RBC Visa,8/19/2026,SAVE ON FOODS PORT MOODY BC,-63.57,cad
6b9daa94b6207c81a63e53e620a939fb8c6a48a5,RBC Visa,8/19/2026,SQ *CASA DEL PANE BAKERY Port Moody BC,-28.49,cad
beef913c8b6fd856bba0d4136050ed458449ee04,RBC Visa,8/19/2026,KIN'S FARM NPV PORT MOODY BC,-38.40,cad
eba7d7a7f23c8a5909e6c230464058ef7abce8d6,RBC Visa,8/20/2026,PLEASANT COFFEE PORT MOODY BC,-6.51,cad
3acb73dac7bc20b0a5d940e6735e61f0cfac74e0,RBC Visa,8/20/2026,SQ *LA FORET AUSTIN Coquitlam BC,-37.63,cad
4bafe2d05f0267e65bf945397f2d289ab4ab7f90,RBC Visa,8/21/2026,WAL-MART SUPERCENTER#1208COQUITLAM BC,-26.88,cad
3bd6b3bb8bf7ab6822e436fc7e330ed66af1867f,RBC Visa,8/21/2026,HARBOUR AIR RICHMOND BC,-327.82,cad
4d80f332f124fa5d03652ea18a05c783c670a57e,RBC Visa,8/21/2026,SieBro Bakers Ltd. Port Moody BC,-27.00,cad
c11e61e78176803d6022571b0eb1d66832e8ebe8,RBC Visa,8/21/2026,THRIFTY FOODS #9470 PORT MOODY BC,-119.37,cad
6d509f21904cfc1f8af095664d84907bbf72d663,RBC Visa,8/22/2026,APPLE.COM/BILL 866-712-7753 ON,-1.44,cad
67d4fb75dfa22dd0ad89e47c92ffa33dc811d7f6,RBC Visa,8/22/2026,NETFLIX.COM Vancover BC,-21.27,cad
64e53e05c289b0fec0f6ec85c903fc7eb0112681,RBC Visa,8/22/2026,RWCO 2229 Coquitlam BC,-156.61,cad
b174f8d05d9af69eb00d26dd727c7ac092ac2fe6,RBC Visa,8/23/2026,RBC LIFE INSURANCE CO. MISSISSAUGA ON,-54.72,cad
9ef19ffbfedd2d9b79b74164d7bcbd521fb9ffe7,RBC Visa,8/23/2026,PHO 99 COQUITLAM BC,-74.92,cad
202dadd1ad359559ab5b7f38569b463856390275,RBC Visa,8/23/2026,ESSO 7-ELEVEN 37877 ABBOTSFORD BC,-93.81,cad
1831d550515cfad4a20e2fec9f907630cd09352b,RBC Visa,8/23/2026,THRIFTY FOODS #9470 PORT MOODY BC,-15.41,cad
406e7740dd72f97e0e2e903598b440837c368bc1,RBC Visa,8/23/2026,HOT VOYAGE SAUNA PORT MOODY BC,-10.00,cad
78332596119c8f37615926bc90cc1d61a50d2abd,RBC Visa,8/23/2026,SQ *TWIN SAILS BREWING Port Moody BC,-11.50,cad
445770f268c4f807569602dd786e1f2e7fc20032,RBC Visa,8/23/2026,TST-Yellow Dog Brewing Port Moody BC,-26.42,cad
462dc43ca3a9cdcfe01644207c3c5e90a6ec1fcc,RBC Visa,8/24/2026,FAMOUS PLAYER 1412QPS COQUITLAM BC,-16.42,cad
55495642064419b40af62300dbf621045bdf1e24,RBC Visa,8/24/2026,SQ *FIOR DI LATTE Burnaby BC,-6.09,cad
6254e0c30c439b7b20353733427ea2c4e0733ef9,RBC Visa,8/24/2026,SHOPPERS DRUG MART #21 BURNABY BC,-70.23,cad
78088c44d1731a3d69db9b1e97c6e83e6401de9b,RBC Visa,8/24/2026,TST-Le Croissant - Win Winnipeg MB,-60.00,cad
56f9109a0c151e7048b1f7dbc2defb76f1f96fff,RBC Visa,8/24/2026,AMZN Mktp CA*5O6CE4M20 866-216-1072 ON,-106.60,cad
7fba74372712e468c875e6e34591bbaa43e7dc8f,RBC Visa,8/24/2026,CIOFFIS MEAT MARKET D BURNABY BC,-24.85,cad
ce423928a1918a25f36ec0074fc824e885b13a09,RBC Visa,8/24/2026,SAFEWAY #4913 BURNABY BC,-27.97,cad
01cf7d59f7c422d6403ea606d73dffade80d1278,RBC Visa,8/26/2026,BURNABY HEIGHTS CHIROPRACBURNABY BC,-13.00,cad
3e6440b329952cdaf2d8853eb5eeedbba67a2c31,RBC Visa,8/27/2026,Amazon Channels amazon.ca BC,-13.43,cad
107c8ce1f0992b7e51ad3cd88db74af2b38128c2,RBC Visa,8/27/2026,BETTER MEALS BURNABY BC,-105.50,cad
ffd47f2eabe8dc760ef8eb6a8c8cbfe732c4595c,RBC Visa,8/27/2026,Uniqlo Canada POS_CA_COQ_Coquitlam BC,-22.29,cad
84bf6a9ead6e5ba95471f30b8bc8d0d9b1c3b8a1,RBC Visa,8/28/2026,RAKUTEN KOBO INC. TORONTO ON,-14.69,cad
f068c8882acd47ab5d98eca43e19391ec6172090,RBC Visa,8/28/2026,AMZN Mktp CA*5O93G9YS2 866-216-1072 ON,-16.79,cad
b0a1b0e0cba4ed337ce7a3e132b5a0ff45c6dbe8,RBC Visa,8/28/2026,STRIPPED WAX BAR INC 5 PORT MOODY BC,-132.83,cad
ed77764c9e7dde591cb4e787776f7d91c1ea728b,RBC Visa,8/29/2026,SP CANADA SOCCER OTTAWA ON,-21.00,cad
15673469bafda8879d3d13035dc9c56b06cb48c1,RBC Visa,8/29/2026,SQ *LEE'S DONUTS GRANVILLVancouver BC,-10.00,cad
3ffba9588e0a06ae4096892f8a8e7b98c240ba30,RBC Visa,8/29/2026,La Tortilleria Vancouver BC,-16.91,cad
9ce9f320b00b5ad5c21b875beae6d4efa255bcf0,RBC Visa,8/29/2026,CITY OF VAN PAYBYPHONE VANCOUVER BC,-4.15,cad
0650afb993bc1105e938c29cced624625a715419,RBC Visa,8/29/2026,SQ *SABOR A MEXICO Port Moody BC,-196.38,cad
132714cdd37c692b3d2cfad61f2888db3d7e32cf,RBC Visa,8/29/2026,GRANVILLE ISLANDTEAQCO VANCOUVER BC,-4.20,cad
1c820d81e3458066de315018e7d6d71729921701,RBC Visa,8/30/2026,INDIGO PARK - LOT 088 VANCOUVER BC,-18.90,cad
c0850a523b25a4225496f2f54ca06d7661008c62,RBC Visa,8/30/2026,INDIGO PARK - LOT 088 VANCOUVER BC,-4.90,cad
11bf9b4052899684d1289a0213b8234f790e665d,RBC Visa,8/30/2026,NIGHTINGALE VANCOUVER VANCOUVER BC,-238.45,cad
9e8a805b68f40637c335bdcf112932bb7122e18e,RBC Visa,8/31/2026,Amazon.ca*5Q0315PI2 866-216-1072 ON,-46.18,cad
4d8d77e3702e79e8a5092d51c97bb0f01586e86e,RBC Visa,9/1/2026,WILLOW VIEW FARMS ABBOTSFORD BC,-86.69,cad
e40082fee52e0ed805c96f2be6cf5f2d3573d627,RBC Visa,9/2/2026,Reitmans 1184 Coquitlam BC,-49.53,cad
fd3def8e191c5e6255c311fe51e7f8891bceae45,RBC Visa,9/2/2026,APPLE.COM/BILL 866-712-7753 ON,-13.43,cad
2f0a51c7fc0d6f084c3893b79c744b68683bc1e6,RBC Visa,9/2/2026,SP LITTLE MOUNTAIN V BURNABY BC,-60.48,cad
e378100e8e4e8f2c6b8c946c78e7420cbd68542c,RBC Visa,9/3/2026,PAYMENT - THANK YOU / PAIEMENT - MERCI,5000.00,cad
f99d25d88bb5b3ac1662940c5c06a2837c003247,RBC Visa,9/3/2026,CHV43054 POCO CHEVRON PORT COQUITLABC,-83.67,cad
e6405cc91552be62c24af78b1b2929f5e7e986d9,RBC Visa,9/3/2026,STK SCOTTSDALE (OLD TOWN SCOTTSD,-134.37,cad
5bc86bcd0d66bfce603aa9fa9fcf92b85e3de080,RBC Visa,9/3/2026,APPLE.COM/BILL 866-712-7753 ON,-16.79,cad
a520dbc058b33c90a927a65b5556b0e2545902ca,RBC Visa,9/3/2026,CIRCLEK #2700248 SCOTTSDALE AZ,-78.50,cad
9eceac315a36288e4dd79344db3c2efb3c94c140,RBC Visa,9/3/2026,TST*SCHMOOZE Scottsdale AZ,-56.18,cad
3d91b02fbe83e22fb7bd7fbaf6d0af98e31bf4ae,RBC Visa,9/4/2026,Disney Plus Burbank CA,-17.91,cad
1efede9ef514d413acf9108700ce363e2195c3a2,RBC Visa,9/4/2026,THRIFTY FOODS #9470 PORT MOODY BC,-17.98,cad
bf9b0fc5689ff6d28e56a88c60e45894d16aacd1,RBC Visa,9/4/2026,UBER CANADA/UBERTRIP TORONTO ON,-0.99,cad
757d7b6fb5ebc0b33bf7020271ec6be1de5ad53d,RBC Visa,9/4/2026,TARGET T-0950 PHOENIX AZ,-94.25,cad
f04cdbe625c32c2c16802787e3b3f422e5e71e93,RBC Visa,9/4/2026,UBER CANADA/UBERTRIP TORONTO ON,-11.16,cad
97754fe51066ad86c38ca388531850893ded2068,RBC Visa,9/4/2026,UBER CANADA/UBERTRIP TORONTO ON,-11.13,cad
9bb772efe07fcfe3965118f5cd697138594918d2,RBC Visa,9/4/2026,OLIVE & IVY UPNGO SCOTTSDALE AZ,-85.94,cad
9397971be1e978028eb0f1dbb2ccf252c677b8ca,RBC Visa,9/5/2026,SieBro Bakers Ltd. Port Moody BC,-6.50,cad
ada2f357473c814d2f551fb05e6f716f1103834c,RBC Visa,9/5/2026,SWEET TALK PORT MOODY BC,-11.55,cad
61c0990661668c122d552c2e9f85cf984a4e88c6,RBC Visa,9/5/2026,TST*ELEPHANTE SCOTTSDALE Scottsd,-110.17,cad
3c888f5cceaafb9dd753c16d39faef76fd31abcd,RBC Visa,9/5/2026,UBER CANADA/UBERTRIP TORONTO ON,-12.55,cad
920a68e6ca56f52be453038b0c2b3020cdff97dc,RBC Visa,9/5/2026,CRAFT CULINARY CONCEPT GLENDALE,-42.80,cad
33e36f103cc5a7ab9bf708ab19f517d80132f7f9,RBC Visa,9/6/2026,WWW.LIFEONTHECOURT.COM REGINA SK,-29.99,cad
a7e38e6125689b8b70c04b68fd062f5bc3d63274,RBC Visa,9/6/2026,STARBUCKS T3 NORTH PHX PHOENIX AZ,-13.30,cad
7a8ff6a030823aae1f6bef36215af10d55080513,RBC Visa,9/6/2026,UBER CANADA/UBERTRIP TORONTO ON,-13.98,cad
e192c65c41e7318007001835e277eb772eb1684e,RBC Visa,9/6/2026,UBER CANADA/UBERTRIP TORONTO ON,-141.49,cad
b34a9a04f2f45c1facb6d4a3b4d47a65bd0449d2,RBC Visa,9/7/2026,SieBro Bakers Ltd. Port Moody BC,-6.75,cad
e8f79cbea5503ad5c752af9158dd1b0b37ad5683,RBC Visa,9/7/2026,THRIFTY FOODS #9470 PORT MOODY BC,-15.41,cad
024a9e8b3e077555d7e043e33315c3688257ebf4,RBC Visa,9/8/2026,AUTOMATIC PAYMENT -THANK YOU,5869.00,cad
75635168ec29868caf92f82adaeb187866983840,RBC Visa,9/8/2026,PC EXPRESS 1526 COQUITLAM BC,-205.98,cad
080e916f8fad3c303fd43e8b545a0242c7b885fd,RBC Visa,9/9/2026,OPENCODE ANOMA.LY CA,-14.36,cad
f3c294ed23de3ddf3d42d2af98f23b0b2c2e61c0,RBC Visa,9/10/2026,Audible CA*YL2Q20113 Amzn.com/billNJ,-16.74,cad
baa48b38adf2441a8036c70df80de00003979fd9,RBC Visa,9/11/2026,Reitmans 1184 Coquitlam BC,26.82,cad
ae320925736d4975e5c2d3e8d76a8a84e42d9941,RBC Visa,9/12/2026,ENDURANCE TAEKWONDO PORT MOODY BC,-91.83,cad
6dbc769f9006e029e25c53b2ae212c51577e0c4a,RBC Visa,9/12/2026,BELL MEDIA TORONTO ON,-67.19,cad
55a3d3b062d2d0af67491d1fdc92a8efb5b502b5,RBC Visa,9/12/2026,BURNABY KEG #9 BURNABY BC,-190.37,cad
5f8f1c1d38b3d8c767e27d19c16f9de5afafee7b,RBC Visa,9/13/2026,SQ *LOCALITY BREWING Langley BC,-20.70,cad
47882138e31422d79687218d6e9ec6ba86d4aaf8,RBC Visa,9/13/2026,HAN'S DELISH HUB COQUITLAM BC,-40.93,cad
451933ced7cec94bb8b1014b5884f70cf9eb1004,RBC Visa,9/13/2026,STAMPEDE BURGER MISSION BC,-21.00,cad
4cd66b93ad802f779b15b48d701f95ddccc2334c,RBC Visa,9/13/2026,APPLE.COM/BILL 866-712-7753 ON,-33.59,cad
5c51bc64759d4df29f89d0a4011d524de58b0590,RBC Visa,9/13/2026,SieBro Bakers Ltd. Port Moody BC,-15.50,cad
08662aa0fbee7be97e641455bca6b5a53e60cf3e,RBC Visa,9/14/2026,SQ *LOCALITY BREWING Langley BC,-21.85,cad
50e35247670899a976ea0560efcd91f6ee3abf40,RBC Visa,9/14/2026,RONA COQUITLAM 61260 COQUITLAM BC,-38.60,cad
929d434af28a98683f3b3556188cc688621a34b6,RBC Visa,9/14/2026,HUNNIFORD'S KEREMEOS KEREMEOS BC,-22.43,cad
73a5dfb85d0148e060aaf78183c9798101afd4b3,RBC Visa,9/14/2026,SHELL C01238 BURNABY BC,-84.88,cad
c16f0767420d76e156c5bde8554e3e31dbba63ea,RBC Visa,9/15/2026,AMZN Mktp CA 866-216-1072 ON,78.39,cad
3e9ea5d1b33b54063cb9e9591d86aa68583df5c9,RBC Visa,9/13/2026,THRIFTY FOODS #9470 PORT MOODY BC,-264.01,cad
